Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
Kepler-152c; Planet; ; ; 0.213; 88.255055; 0.356; ; transit; 2014; 1457±10; ; 5088; ; 
Kepler-153b; Planet; ; ; 0.261; 18.870227; 0.129; ; transit; 2014; 1518±11; ; 5404; ; 
Kepler-153c; Planet; ; ; 0.226; 46.90232; 0.237; ; transit; 2014; 1518±11; ; 5404; ; 
Kepler-154b; Planet; ; ; 0.202; 33.040532; 0.198; ; transit; 2014; 3070±60; 0.89; 5690; ; 
Kepler-154c; Planet; ; ; 0.263; 62.303276; 0.303; ; transit; 2014; 3070±60; 0.89; 5690; ; 
Kepler-155b; Planet; ; ; 0.186; 5.931194; 0.056; ; transit; 2014; 965±7; 0.58; 4508; ; 
Kepler-155c; Planet; ; ; 0.2; 52.661793; 0.242; ; transit; 2014; 965±7; 0.58; 4508; ; 
Kepler-156b; Planet; ; ; 0.205; 4.973456; 0.054; ; transit; 2014; 1465±11; ; 5094; ; 
Kepler-156c; Planet; ; ; 0.227; 15.906801; 0.117; ; transit; 2014; 1465±11; ; 5094; ; 
Kepler-157b; Planet; ; ; 0.118; 1.732342; 0.028; ; transit; 2014; 2580±40; ; 5774; ; 
Kepler-157c; Planet; ; ; 0.2; 13.5405; 0.11; ; transit; 2014; 2580±40; ; 5774; ; 
Kepler-158b; Planet; ; ; 0.189; 16.709184; 0.111; ; transit; 2014; 1037±6; ; 4623; ; 
Kepler-158c; Planet; ; ; 0.17; 28.551383; 0.158; ; transit; 2014; 1037±6; ; 4623; ; 
Kepler-159b; Planet; ; ; 0.212; 10.139623; 0.082; ; transit; 2014; 1232±10; ; 4625; ; 
Kepler-159c; Planet; ; ; 0.304; 43.595792; 0.218; ; transit; 2014; 1232±10; ; 4625; ; 
Kepler-160b; Planet; ; ; 0.137; 4.309427; 0.05; ; transit; 2014; 3140±60; 0.88; 5471+115 −37; ; 
Kepler-160c; Planet; ; ; 0.322; 13.699087; 0.109; ; transit; 2014; 3140±60; 0.88; 5471+115 −37; ; 
Kepler-161b; Planet; ; ; 0.189; 4.921355; 0.054; ; transit; 2014; 1435±10; 0.77; 5078; ; 
Kepler-161c; Planet; ; ; 0.183; 7.06424; 0.068; ; transit; 2014; 1435±10; 0.77; 5078; ; 
Kepler-162b; Planet; ; ; 0.112; 6.919798; 0.069; ; transit; 2014; 2860±50; ; 5816; ; 
Kepler-162c; Planet; ; ; 0.27; 19.446355; 0.137; ; transit; 2014; 2860±50; ; 5816; ; 
Kepler-163b; Planet; ; ; 0.094; 7.810937; 0.078; ; transit; 2014; 2300±40; 0.96; 5776; ; 
Kepler-163c; Planet; ; ; 0.202; 21.347262; 0.152; ; transit; 2014; 2300±40; 0.96; 5776; ; 
Kepler-164b; Planet; ; ; 0.126; 5.03503; 0.058; ; transit; 2014; 2980±50; 1.11; 5888; ; 
Kepler-164c; Planet; ; ; 0.244; 10.945723; 0.097; ; transit; 2014; 2980±50; 1.11; 5888; ; 
Kepler-164d; Planet; ; ; 0.219; 28.986769; 0.187; ; transit; 2014; 2980±50; 1.11; 5888; ; 
Kepler-165b; Planet; ; ; 0.207; 8.180848; 0.072; ; transit; 2014; 1860±20; ; 5211; ; 
Kepler-165c; Planet; ; ; 0.199; 15.31299; 0.11; ; transit; 2014; 1860±20; ; 5211; ; 
Kepler-166b; Planet; ; ; 0.203; 7.650254; 0.072; ; transit; 2014; 2000±20; ; 5413; ; 
Kepler-166c; Planet; ; ; 0.212; 34.260281; 0.195; ; transit; 2014; 2000±20; ; 5413; ; 
Kepler-167b; Planet; ; ; 0.144; 4.3931632; 0.0483; ; transit; 2014; 1100; 0.77; 4890; ; 
Kepler-167c; Planet; ; ; 0.138; 7.406114; 0.0684; ; transit; 2014; 1100; 0.77; 4890; ; 
Kepler-168b; Planet; ; ; 0.13; 4.425391; 0.056; ; transit; 2014; 4550±160; ; 6282; ; 
Kepler-168c; Planet; ; ; 0.24; 13.193242; 0.116; ; transit; 2014; 4550±160; ; 6282; ; 
Kepler-169b; Planet; ; ; 0.101; 3.250619; 0.04; ; transit; 2014; 1341±9; 0.86; 4997; ; 
Kepler-169c; Planet; ; ; 0.108; 6.195469; 0.062; ; transit; 2014; 1341±9; 0.86; 4997; ; 
Kepler-169d; Planet; ; ; 0.112; 8.348125; 0.075; ; transit; 2014; 1341±9; 0.86; 4997; ; 
Kepler-169e; Planet; ; ; 0.196; 13.767102; 0.105; ; transit; 2014; 1341±9; 0.86; 4997; ; 
Kepler-169f; Planet; ; ; 0.23; 87.090195; 0.359; ; transit; 2014; 1341±9; 0.86; 4997; ; 
Kepler-170b; Planet; ; ; 0.285; 7.930592; 0.08; ; transit; 2014; 2460±40; ; 5679; ; 
Kepler-170c; Planet; ; ; 0.255; 16.665863; 0.131; ; transit; 2014; 2460±40; ; 5679; ; 
Kepler-171b; Planet; ; ; 0.209; 4.166972; 0.05; ; transit; 2014; 2890±60; ; 5642; ; 
Kepler-171c; Planet; ; ; 0.228; 11.463462; 0.098; ; transit; 2014; 2890±60; ; 5642; ; 
Kepler-171d; Planet; ; ; 0.169; 39.595519; 0.223; ; transit; 2014; 2890±60; ; 5642; ; 
Kepler-172b; Planet; ; ; 0.21; 2.940309; 0.04; ; transit; 2014; 2770±60; 0.86; 5526; ; 
Kepler-172c; Planet; ; ; 0.255; 6.388996; 0.068; ; transit; 2014; 2770±60; 0.86; 5526; ; 
Kepler-172d; Planet; ; ; 0.201; 14.627119; 0.118; ; transit; 2014; 2770±60; 0.86; 5526; ; 
Kepler-172e; Planet; ; ; 0.246; 35.118736; 0.211; ; transit; 2014; 2770±60; 0.86; 5526; ; 
Kepler-173b; Planet; ; ; 0.115; 4.263742; 0.048; ; transit; 2014; 2780±50; 0.78; 6031; ; 
Kepler-173c; Planet; ; ; 0.217; 8.005777; 0.074; ; transit; 2014; 2780±50; 0.78; 6031; ; 
Kepler-174b; Planet; ; ; 0.175; 13.98179; 0.1; ; transit; 2014; 1268±8; ; 4880; ; 
Kepler-174c; Planet; ; ; 0.133; 44.000529; 0.214; ; transit; 2014; 1268±8; ; 4880; ; 
Kepler-174d; Planet; ; ; 0.195; 247.35373; 0.677; ; transit; 2014; 1268±8; ; 4880; ; 
Kepler-175b; Planet; ; ; 0.228; 11.903515; 0.105; ; transit; 2014; 4450±150; 1.04; 6064; ; 
Kepler-175c; Planet; ; ; 0.277; 34.035257; 0.213; ; transit; 2014; 4450±150; 1.04; 6064; ; 
Kepler-176b; Planet; ; ; 0.128; 5.433074; 0.058; ; transit; 2014; 1750±20; ; 5232; ; 
Kepler-176c; Planet; ; ; 0.232; 12.759712; 0.102; ; transit; 2014; 1750±20; ; 5232; ; 
Kepler-176d; Planet; ; ; 0.224; 25.751974; 0.163; ; transit; 2014; 1750±20; ; 5232; ; 
Kepler-178b; Planet; ; ; 0.259; 9.576694; 0.085; ; transit; 2014; 2380±30; ; 5676; ; 
Kepler-178c; Planet; ; ; 0.257; 20.552802; 0.142; ; transit; 2014; 2380±30; ; 5676; ; 
Kepler-178d; Planet; ; ; 0.352; 96.678988; 0.397; ; transit; 2014; 2380±30; ; 5676; ; 
Kepler-179b; Planet; ; ; 0.146; 2.735926; 0.036; ; transit; 2014; 2010±20; ; 5302; ; 
Kepler-179c; Planet; ; ; 0.178; 6.40013; 0.064; ; transit; 2014; 2010±20; ; 5302; ; 
Kepler-180b; Planet; ; ; 0.134; 13.817124; 0.109; ; transit; 2014; 2320±30; 0.84; 5731; ; 
Kepler-180c; Planet; ; ; 0.269; 41.885775; 0.229; ; transit; 2014; 2320±30; 0.84; 5731; ; 
Kepler-181b; Planet; ; ; 0.113; 3.137873; 0.04; ; transit; 2014; 2020±30; ; 5333; ; 
Kepler-181c; Planet; ; ; 0.178; 4.302149; 0.049; ; transit; 2014; 2020±30; ; 5333; ; 
Kepler-182b; Planet; ; ; 0.23; 9.825792; 0.096; ; transit; 2014; 5290±180; 1.14; 6250; ; 
Kepler-182c; Planet; ; ; 0.306; 20.684342; 0.157; ; transit; 2014; 5290±180; 1.14; 6250; ; 
Kepler-183b; Planet; ; ; 0.184; 5.687945; 0.064; ; transit; 2014; 3530±100; ; 5888; ; 
Kepler-183c; Planet; ; ; 0.203; 11.637071; 0.103; ; transit; 2014; 3530±100; ; 5888; ; 
Kepler-184b; Planet; ; ; 0.211; 10.687576; 0.092; ; transit; 2014; 2030±20; ; 5788; ; 
Kepler-184c; Planet; ; ; 0.176; 20.303005; 0.141; ; transit; 2014; 2030±20; ; 5788; ; 
Kepler-184d; Planet; ; ; 0.222; 29.022358; 0.179; ; transit; 2014; 2030±20; ; 5788; ; 
Kepler-185b; Planet; ; ; 0.104; 1.6329; 0.026; ; transit; 2014; 1542±15; 0.79; 5208; ; 
Kepler-185c; Planet; ; ; 0.18; 20.729042; 0.139; ; transit; 2014; 1542±15; 0.79; 5208; ; 
Kepler-186b; Planet; ; ; 0.095; 3.8867907; 0.0343; ; transit; 2014; 560; 0.54; 3755; ; 
Kepler-186c; Planet; ; ; 0.112; 7.267302; 0.0451; ; transit; 2014; 560; 0.54; 3755; ; 
Kepler-186d; Planet; ; ; 0.125; 13.342996; 0.0781; ; transit; 2014; 560; 0.54; 3755; ; 
Kepler-186e; Planet; ; ; 0.113; 22.407704; 0.11; ; transit; 2014; 560; 0.54; 3755; ; 
Kepler-186f; Planet; ; ; 0.104; 129.9441; 0.432; ; transit; 2014; 560; 0.54; 3755; ; 
Kepler-187b; Planet; ; ; 0.126; 4.938864; 0.059; ; transit; 2014; 3850±110; 0.85; 6105; ; 
Kepler-187c; Planet; ; ; 0.238; 10.640263; 0.099; ; transit; 2014; 3850±110; 0.85; 6105; ; 
Kepler-188b; Planet; ; ; 0.15; 2.061897; 0.032; ; transit; 2014; 3250±80; ; 6021; ; 
Kepler-188c; Planet; ; ; 0.285; 5.996553; 0.066; ; transit; 2014; 3250±80; ; 6021; ; 
Kepler-189b; Planet; ; ; 0.108; 10.399931; 0.088; ; transit; 2014; 1960±20; 0.79; 5235; ; 
Kepler-189c; Planet; ; ; 0.212; 20.134866; 0.137; ; transit; 2014; 1960±20; 0.79; 5235; ; 
Kepler-190b; Planet; ; ; 0.139; 2.019999; 0.03; ; transit; 2014; 1431±9; 0.84; 5106; ; 
Kepler-190c; Planet; ; ; 0.13; 3.763024; 0.045; ; transit; 2014; 1431±9; 0.84; 5106; ; 
Kepler-191b; Planet; ; ; 0.12; 9.939632; 0.087; ; transit; 2014; 1970±30; 0.85; 5282; ; 
Kepler-191c; Planet; ; ; 0.166; 17.738506; 0.128; ; transit; 2014; 1970±30; 0.85; 5282; ; 
Kepler-192b; Planet; ; ; 0.244; 9.926746; 0.09; ; transit; 2014; 2170±20; ; 5479; ; 
Kepler-192c; Planet; ; ; 0.249; 21.2234; 0.15; ; transit; 2014; 2170±20; ; 5479; ; 
Kepler-193b; Planet; ; ; 0.213; 11.38848; 0.106; ; transit; 2014; 3390±80; ; 6335; ; 
Kepler-193c; Planet; ; ; 0.245; 50.697494; 0.286; ; transit; 2014; 3390±80; ; 6335; ; 
Kepler-194b; Planet; ; ; 0.135; 2.092281; 0.032; ; transit; 2014; 3700±100; ; 6089; ; 
Kepler-194c; Planet; ; ; 0.231; 17.308032; 0.131; ; transit; 2014; 3700±100; ; 6089; ; 
Kepler-194d; Planet; ; ; 0.214; 52.814973; 0.275; ; transit; 2014; 3700±100; ; 6089; ; 
Kepler-195b; Planet; ; ; 0.181; 8.307872; 0.077; ; transit; 2014; 2170±30; ; 5329; ; 
Kepler-195c; Planet; ; ; 0.138; 34.096863; 0.197; ; transit; 2014; 2170±30; ; 5329; ; 
Kepler-196b; Planet; ; ; 0.17; 20.739886; 0.138; ; transit; 2014; 1491±10; ; 5128; ; 
Kepler-196c; Planet; ; ; 0.2; 47.427737; 0.24; ; transit; 2014; 1491±10; ; 5128; ; 
Kepler-197b; Planet; ; ; 0.091; 5.599308; 0.06; ; transit; 2014; 1088±7; ; 6004; ; 
Kepler-197c; Planet; ; ; 0.11; 10.349695; 0.09; ; transit; 2014; 1088±7; ; 6004; ; 
Kepler-197d; Planet; ; ; 0.109; 15.677563; 0.119; ; transit; 2014; 1088±7; ; 6004; ; 
Kepler-197e; Planet; ; ; 0.081; 25.209715; 0.164; ; transit; 2014; 1088±7; ; 6004; ; 
Kepler-198b; Planet; ; ; 0.252; 17.790037; 0.131; ; transit; 2014; 1638±14; 0.93; 5574; ; 
Kepler-198c; Planet; ; ; 0.22; 49.567416; 0.259; ; transit; 2014; 1638±14; 0.93; 5574; ; 
Kepler-199b; Planet; ; ; 0.277; 23.637604; 0.158; ; transit; 2014; 1725±14; ; 5644; ; 
Kepler-199c; Planet; ; ; 0.29; 67.093408; 0.316; ; transit; 2014; 1725±14; ; 5644; ; 
Kepler-200b; Planet; ; ; 0.19; 8.594805; 0.08; ; transit; 2014; 2210±20; ; 5678; ; 
Kepler-200c; Planet; ; ; 0.142; 10.222157; 0.09; ; transit; 2014; 2210±20; ; 5678; ; 
Kepler-201b; Planet; ; ; 0.219; 25.672083; 0.175; ; transit; 2014; 2240±30; 1.17; 6065; ; 
Kepler-201c; Planet; ; ; 0.254; 151.884058; 0.573; ; transit; 2014; 2240±30; 1.17; 6065; ; 
Kepler-202b; Planet; ; ; 0.145; 4.069427; 0.045; ; transit; 2014; 937±3; ; 4668; ; 
Kepler-202c; Planet; ; ; 0.165; 16.282493; 0.113; ; transit; 2014; 937±3; ; 4668; ; 
Kepler-203b; Planet; ; ; 0.229; 3.162697; 0.043; ; transit; 2014; 2340±30; 0.98; 5821; ; 
Kepler-203c; Planet; ; ; 0.22; 5.370647; 0.061; ; transit; 2014; 2340±30; 0.98; 5821; ; 
Kepler-203d; Planet; ; ; 0.128; 11.32972; 0.1; ; transit; 2014; 2340±30; 0.98; 5821; ; 
Kepler-204b; Planet; ; ; 0.226; 14.400974; 0.117; ; transit; 2014; 2280±20; 0.96; 5812; ; 
Kepler-204c; Planet; ; ; 0.16; 25.660593; 0.173; ; transit; 2014; 2280±20; 0.96; 5812; ; 
Kepler-205b; Planet; ; ; 0.135; 2.75564; 0.032; ; transit; 2014; 523.4±1.1; ; 4321; ; 
Kepler-205c; Planet; ; ; 0.146; 20.306546; 0.122; ; transit; 2014; 523.4±1.1; ; 4321; ; 
Kepler-206b; Planet; ; ; 0.107; 7.781987; 0.078; ; transit; 2014; 1972±16; 0.94; 5764; ; 
Kepler-206c; Planet; ; ; 0.158; 13.137471; 0.111; ; transit; 2014; 1972±16; 0.94; 5764; ; 
Kepler-206d; Planet; ; ; 0.106; 23.44281; 0.163; ; transit; 2014; 1972±16; 0.94; 5764; ; 
Kepler-207b; Planet; ; ; 0.14; 1.611865; 0.029; ; transit; 2014; 2920±30; ; 5920; ; 
Kepler-207c; Planet; ; ; 0.134; 3.071571; 0.044; ; transit; 2014; 2920±30; ; 5920; ; 
Kepler-207d; Planet; ; ; 0.295; 5.868075; 0.068; ; transit; 2014; 2920±30; ; 5920; ; 
Kepler-208b; Planet; ; ; 0.145; 4.22864; 0.054; ; transit; 2014; 2580±20; 1.03; 6092; ; 
Kepler-208c; Planet; ; ; 0.124; 7.466623; 0.079; ; transit; 2014; 2580±20; 1.03; 6092; ; 
Kepler-208d; Planet; ; ; 0.107; 11.131786; 0.103; ; transit; 2014; 2580±20; 1.03; 6092; ; 
Kepler-208e; Planet; ; ; 0.132; 16.259458; 0.132; ; transit; 2014; 2580±20; 1.03; 6092; ; 
Kepler-209b; Planet; ; ; 0.202; 16.087845; 0.122; ; transit; 2014; 1913±18; ; 5513; ; 
Kepler-209c; Planet; ; ; 0.277; 41.749882; 0.231; ; transit; 2014; 1913±18; ; 5513; ; 
Kepler-210b; Planet; ; ; 0.262; 2.453234; 0.032; ; transit; 2014; 764±2; ; 4559; ; 
Kepler-210c; Planet; ; ; 0.323; 7.972513; 0.07; ; transit; 2014; 764±2; ; 4559; ; 
Kepler-211b; Planet; ; ; 0.112; 4.138575; 0.048; ; transit; 2014; 1018±5; 0.97; 5123; ; 
Kepler-211c; Planet; ; ; 0.115; 6.04045; 0.062; ; transit; 2014; 1018±5; 0.97; 5123; ; 
Kepler-212b; Planet; ; ; 0.097; 16.257582; 0.133; ; transit; 2014; 2280±20; 1.16; 5852; ; 
Kepler-212c; Planet; ; ; 0.244; 31.805174; 0.207; ; transit; 2014; 2280±20; 1.16; 5852; ; 
Kepler-213b; Planet; ; ; 0.145; 2.46236; 0.036; ; transit; 2014; 2100±20; 0.94; 5696; ; 
Kepler-213c; Planet; ; ; 0.209; 4.822962; 0.057; ; transit; 2014; 2100±20; 0.94; 5696; ; 
Kepler-214b; Planet; ; ; 0.233; 15.660544; 0.13; ; transit; 2014; 4080±70; ; 6169; ; 
Kepler-214c; Planet; ; ; 0.19; 28.7798; 0.194; ; transit; 2014; 4080±70; ; 6169; ; 
Kepler-215b; Planet; ; ; 0.145; 9.360672; 0.084; ; transit; 2014; 1607±12; 0.77; 5739; ; 
Kepler-215c; Planet; ; ; 0.158; 14.667108; 0.113; ; transit; 2014; 1607±12; 0.77; 5739; ; 
Kepler-215d; Planet; ; ; 0.213; 30.864423; 0.185; ; transit; 2014; 1607±12; 0.77; 5739; ; 
Kepler-215e; Planet; ; ; 0.156; 68.16101; 0.314; ; transit; 2014; 1607±12; 0.77; 5739; ; 
Kepler-216b; Planet; ; ; 0.21; 7.693641; 0.079; ; transit; 2014; 4000±70; ; 6091; ; 
Kepler-216c; Planet; ; ; 0.271; 17.406669; 0.136; ; transit; 2014; 4000±70; ; 6091; ; 
Kepler-217b; Planet; ; ; 0.199; 5.374943; 0.065; ; transit; 2014; 3720±50; ; 6171; ; 
Kepler-217c; Planet; ; ; 0.165; 8.586004; 0.089; ; transit; 2014; 3720±50; ; 6171; ; 
Kepler-218b; Planet; ; ; 0.132; 3.619337; 0.046; ; transit; 2014; 2180±20; ; 5502; ; 
Kepler-218c; Planet; ; ; 0.28; 44.699576; 0.248; ; transit; 2014; 2180±20; ; 5502; ; 
Kepler-219b; Planet; ; ; 0.263; 4.585512; 0.057; ; transit; 2014; 2620±30; ; 5786; ; 
Kepler-219c; Planet; ; ; 0.319; 22.714613; 0.165; ; transit; 2014; 2620±30; ; 5786; ; 
Kepler-219d; Planet; ; ; 0.251; 47.903645; 0.272; ; transit; 2014; 2620±30; ; 5786; ; 
Kepler-220b; Planet; ; ; 0.072; 4.159807; 0.046; ; transit; 2014; 560±2; ; 4632; ; 
Kepler-220c; Planet; ; ; 0.14; 9.034199; 0.076; ; transit; 2014; 560±2; ; 4632; ; 
Kepler-220d; Planet; ; ; 0.087; 28.122397; 0.163; ; transit; 2014; 560±2; ; 4632; ; 
Kepler-220e; Planet; ; ; 0.119; 45.902733; 0.226; ; transit; 2014; 560±2; ; 4632; ; 
Kepler-221b; Planet; ; ; 0.153; 2.795906; 0.037; ; transit; 2014; 1270±9; 0.72; 5243; ; 
Kepler-221c; Planet; ; ; 0.261; 5.690586; 0.059; ; transit; 2014; 1270±9; 0.72; 5243; ; 
Kepler-221d; Planet; ; ; 0.244; 10.04156; 0.087; ; transit; 2014; 1270±9; 0.72; 5243; ; 
Kepler-221e; Planet; ; ; 0.235; 18.369917; 0.13; ; transit; 2014; 1270±9; 0.72; 5243; ; 
Kepler-222b; Planet; ; ; 0.282; 3.936981; 0.048; ; transit; 2014; 2520±40; ; 5433; ; 
Kepler-222c; Planet; ; ; 0.414; 10.08881; 0.091; ; transit; 2014; 2520±40; ; 5433; ; 
Kepler-222d; Planet; ; ; 0.329; 28.081912; 0.18; ; transit; 2014; 2520±40; ; 5433; ; 
Kepler-223b; Planet; ; 0.02328; 0.267; 7.38449; ; ; transit; 2014; 6400±400; 1.12; ; ; 
Kepler-223c; Planet; ; 0.01605; 0.307; 9.84564; ; ; transit; 2014; 6400±400; 1.12; ; ; 
Kepler-223d; Planet; ; 0.02517; 0.467; 14.78869; ; ; transit; 2014; 6400±400; 1.12; ; ; 
Kepler-223e; Planet; ; 0.0151; 0.41; 19.72567; ; ; transit; 2014; 6400±400; 1.12; ; ; 
Kepler-224b; Planet; ; ; 0.124; 3.132924; 0.038; ; transit; 2014; 2600±60; 0.74; 5018; ; 
Kepler-224c; Planet; ; ; 0.278; 5.925003; 0.058; ; transit; 2014; 2600±60; 0.74; 5018; ; 
Kepler-224d; Planet; ; ; 0.205; 11.349393; 0.089; ; transit; 2014; 2600±60; 0.74; 5018; ; 
Kepler-224e; Planet; ; ; 0.176; 18.643577; 0.124; ; transit; 2014; 2600±60; 0.74; 5018; ; 
Kepler-225b; Planet; ; ; 0.107; 6.738975; 0.056; ; transit; 2014; 1850±40; ; 3682; ; 
Kepler-225c; Planet; ; ; 0.164; 18.794234; 0.111; ; transit; 2014; 1850±40; ; 3682; ; 
Kepler-226b; Planet; ; ; 0.138; 3.940997; 0.047; ; transit; 2014; 3280±80; 0.86; 5571; ; 
Kepler-226c; Planet; ; ; 0.203; 5.349555; 0.058; ; transit; 2014; 3280±80; 0.86; 5571; ; 
Kepler-226d; Planet; ; ; 0.109; 8.109044; 0.076; ; transit; 2014; 3280±80; 0.86; 5571; ; 
Kepler-227b; Planet; ; ; 0.277; 9.488015; 0.09; ; transit; 2014; 3640±100; ; 5854; ; 
Kepler-227c; Planet; ; ; 0.271; 54.418694; 0.29; ; transit; 2014; 3640±100; ; 5854; ; 
Kepler-228b; Planet; ; ; 0.136; 2.566546; 0.038; ; transit; 2014; 5600±300; ; 6043; ; 
Kepler-228c; Planet; ; ; 0.241; 4.134444; 0.052; ; transit; 2014; 5600±300; ; 6043; ; 
Kepler-228d; Planet; ; ; 0.36; 11.094286; 0.101; ; transit; 2014; 5600±300; ; 6043; ; 
Kepler-229b; Planet; ; ; 0.196; 6.252972; 0.062; ; transit; 2014; 2750±70; ; 5120; ; 
Kepler-229c; Planet; ; ; 0.439; 16.068638; 0.117; ; transit; 2014; 2750±70; ; 5120; ; 
Kepler-229d; Planet; ; ; 0.343; 41.194912; 0.22; ; transit; 2014; 2750±70; ; 5120; ; 
Kepler-230b; Planet; ; ; 0.38; 32.625555; 0.191; ; transit; 2014; 2460±40; ; 5588; ; 
Kepler-230c; Planet; ; ; 0.182; 91.773242; 0.38; ; transit; 2014; 2460±40; ; 5588; ; 
Kepler-231b; Planet; ; ; 0.154; 10.065275; 0.074; ; transit; 2014; 988±9; 0.58; 3767; ; 
Kepler-231c; Planet; ; ; 0.172; 19.271566; 0.114; ; transit; 2014; 988±9; 0.58; 3767; ; 
Kepler-232b; Planet; ; ; 0.275; 4.431222; 0.054; ; transit; 2014; 4570±160; ; 5847; ; 
Kepler-232c; Planet; ; ; 0.342; 11.379349; 0.101; ; transit; 2014; 4570±160; ; 5847; ; 
Kepler-233b; Planet; ; ; 0.217; 8.472382; 0.077; ; transit; 2014; 2860±60; ; 5360; ; 
Kepler-233c; Planet; ; ; 0.242; 60.418955; 0.287; ; transit; 2014; 2860±60; ; 5360; ; 
Kepler-234b; Planet; ; ; 0.33; 2.711506; 0.04; ; transit; 2014; 5900±300; ; 6224; ; 
Kepler-234c; Planet; ; ; 0.313; 7.21205; 0.077; ; transit; 2014; 5900±300; ; 6224; ; 
Kepler-235b; Planet; ; ; 0.199; 3.340222; 0.037; ; transit; 2014; 1410±20; 0.59; 4255; ; 
Kepler-235c; Planet; ; ; 0.114; 7.824904; 0.065; ; transit; 2014; 1410±20; 0.59; 4255; ; 
Kepler-235d; Planet; ; ; 0.183; 20.060548; 0.122; ; transit; 2014; 1410±20; 0.59; 4255; ; 
Kepler-235e; Planet; ; ; 0.198; 46.183669; 0.213; ; transit; 2014; 1410±20; 0.59; 4255; ; 
Kepler-236b; Planet; ; ; 0.14; 8.295611; 0.065; ; transit; 2014; 949±7; 0.56; 3750; ; 
Kepler-236c; Planet; ; ; 0.178; 23.968127; 0.132; ; transit; 2014; 949±7; 0.56; 3750; ; 
Kepler-237b; Planet; ; ; 0.126; 4.715106; 0.05; ; transit; 2014; 2180±30; 0.7; 4861; ; 
Kepler-237c; Planet; ; ; 0.186; 8.103636; 0.071; ; transit; 2014; 2180±30; 0.7; 4861; ; 
Kepler-238b; Planet; ; ; 0.154; 2.090876; 0.034; ; transit; 2014; 6200±300; 1.06; 5751; ; 
Kepler-238c; Planet; ; ; 0.213; 6.155557; 0.069; ; transit; 2014; 6200±300; 1.06; 5751; ; 
Kepler-238d; Planet; ; ; 0.274; 13.233549; 0.115; ; transit; 2014; 6200±300; 1.06; 5751; ; 
Kepler-239b; Planet; ; ; 0.208; 11.763051; 0.095; ; transit; 2014; 2150±40; 0.74; 4914; ; 
Kepler-239c; Planet; ; ; 0.224; 56.228098; 0.268; ; transit; 2014; 2150±40; 0.74; 4914; ; 
Kepler-240b; Planet; ; ; 0.122; 4.144495; 0.048; ; transit; 2014; 2480±60; ; 4985; ; 
Kepler-240c; Planet; ; ; 0.196; 7.953528; 0.074; ; transit; 2014; 2480±60; ; 4985; ; 
Kepler-241b; Planet; ; ; 0.208; 12.718092; 0.094; ; transit; 2014; 1980±130; ; 4699; ; 
Kepler-241c; Planet; ; ; 0.229; 36.065978; 0.189; ; transit; 2014; 1980±130; ; 4699; ; 
Kepler-242b; Planet; ; ; 0.233; 8.20395; 0.075; ; transit; 2014; 1990±30; ; 5020; ; 
Kepler-242c; Planet; ; ; 0.178; 14.496481; 0.109; ; transit; 2014; 1990±30; ; 5020; ; 
Kepler-243b; Planet; ; ; 0.219; 5.715442; 0.062; ; transit; 2014; 2300±30; 0.89; 5228; ; 
Kepler-243c; Planet; ; ; 0.178; 20.026218; 0.142; ; transit; 2014; 2300±30; 0.89; 5228; ; 
Kepler-244b; Planet; ; ; 0.246; 4.311792; 0.05; ; transit; 2014; 3480±120; ; 5554; ; 
Kepler-244c; Planet; ; ; 0.183; 9.767292; 0.087; ; transit; 2014; 3480±120; ; 5554; ; 
Kepler-244d; Planet; ; ; 0.206; 20.050401; 0.14; ; transit; 2014; 3480±120; ; 5554; ; 
Kepler-245b; Planet; ; ; 0.229; 7.49019; 0.071; ; transit; 2014; 2870±80; 0.8; 5100; ; 
Kepler-245c; Planet; ; ; 0.194; 17.460812; 0.124; ; transit; 2014; 2870±80; 0.8; 5100; ; 
Kepler-245d; Planet; ; ; 0.27; 36.277108; 0.202; ; transit; 2014; 2870±80; 0.8; 5100; ; 
Kepler-246b; Planet; ; ; 0.209; 4.60182; 0.052; ; transit; 2014; 2070±20; 0.86; 5206; ; 
Kepler-246c; Planet; ; ; 0.134; 11.187161; 0.095; ; transit; 2014; 2070±20; 0.86; 5206; ; 
Kepler-247b; Planet; ; ; 0.146; 3.33616; 0.042; ; transit; 2014; 2200±40; ; 5100; ; 
Kepler-247c; Planet; ; ; 0.365; 9.439452; 0.084; ; transit; 2014; 2200±40; ; 5100; ; 
Kepler-247d; Planet; ; ; 0.352; 20.477912; 0.14; ; transit; 2014; 2200±40; ; 5100; ; 
Kepler-248b; Planet; ; ; 0.269; 6.308205; 0.066; ; transit; 2014; 2460±40; ; 5190; ; 
